transcript_ID,gene_ID
FBtr0081624,FBgn0000003
FBtr0071763,FBgn0000008
FBtr0071764,FBgn0000008
FBtr0100521,FBgn0000008
FBtr0342981,FBgn0000008
FBtr0083387,FBgn0000014
FBtr0083388,FBgn0000014
FBtr0300485,FBgn0000014
FBtr0306337,FBgn0000014
FBtr0083381,FBgn0000015
FBtr0083382,FBgn0000015
FBtr0083383,FBgn0000015
FBtr0083384,FBgn0000015
FBtr0083385,FBgn0000015
FBtr0330709,FBgn0000015
FBtr0346764,FBgn0000015
FBtr0415463,FBgn0000015
FBtr0415464,FBgn0000015
FBtr0415465,FBgn0000015
FBtr0075357,FBgn0000017
FBtr0112790,FBgn0000017
FBtr0330130,FBgn0000017
FBtr0330131,FBgn0000017
FBtr0330132,FBgn0000017
FBtr0330133,FBgn0000017
FBtr0330134,FBgn0000017
FBtr0330135,FBgn0000017
FBtr0330136,FBgn0000017
FBtr0345369,FBgn0000017
FBtr0080168,FBgn0000018
FBtr0070072,FBgn0000022
FBtr0082780,FBgn0000024
FBtr0300486,FBgn0000024
FBtr0335223,FBgn0000024
FBtr0074015,FBgn0000028
FBtr0100326,FBgn0000028
FBtr0100328,FBgn0000028
FBtr0290063,FBgn0000028
FBtr0290064,FBgn0000028
FBtr0305189,FBgn0000028
FBtr0305190,FBgn0000028
FBtr0305191,FBgn0000028
FBtr0305192,FBgn0000028
FBtr0305193,FBgn0000028
FBtr0305194,FBgn0000028
FBtr0305195,FBgn0000028
FBtr0305196,FBgn0000028
FBtr0085609,FBgn0000032
FBtr0085610,FBgn0000032
FBtr0084619,FBgn0000036
FBtr0330310,FBgn0000036
FBtr0334916,FBgn0000036
FBtr0072367,FBgn0000037
FBtr0072368,FBgn0000037
FBtr0073299,FBgn0000038
FBtr0073300,FBgn0000038
FBtr0084639,FBgn0000039
FBtr0084640,FBgn0000039
FBtr0070822,FBgn0000042
FBtr0070823,FBgn0000042
FBtr0100662,FBgn0000042
FBtr0100663,FBgn0000042
FBtr0345894,FBgn0000042
FBtr0086029,FBgn0000043
FBtr0071519,FBgn0000044
FBtr0078478,FBgn0000045
FBtr0334090,FBgn0000045
FBtr0082785,FBgn0000046
FBtr0082786,FBgn0000046
FBtr0346242,FBgn0000046
FBtr0083143,FBgn0000047
FBtr0079219,FBgn0000052
FBtr0079220,FBgn0000052
FBtr0079221,FBgn0000052
FBtr0079431,FBgn0000053
FBtr0100353,FBgn0000053
FBtr0339663,FBgn0000053
FBtr0100589,FBgn0000055
FBtr0100590,FBgn0000055
FBtr0100591,FBgn0000055
FBtr0100593,FBgn0000055
